epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.2647,1.36646,2.50273,1.67588,0.25276,0.3661,0.22835,0.09274,1.86874,3.08441,2.41928,0.000550054,0.000550054,0.000550054
2,58.3393,1.51011,2.20756,1.79911,0.34447,0.2759,0.22343,0.08101,2.1669,2.35428,2.45031,0.00109477,0.00109477,0.00109477
3,88.0344,1.53132,2.07244,1.8113,0.36693,0.42173,0.28378,0.10955,2.14635,3.25446,2.5338,0.00162849,0.00162849,0.00162849
4,118.016,1.57607,2.07504,1.85172,0.42451,0.4125,0.3691,0.16928,1.89519,2.35201,2.33469,0.00161749,0.00161749,0.00161749
5,147.962,1.51049,1.94867,1.79728,0.24419,0.27633,0.18519,0.07347,2.11249,3.04244,2.41176,0.00160099,0.00160099,0.00160099
6,175.318,1.46279,1.87039,1.74734,0.39712,0.40585,0.2952,0.13281,1.87099,2.32565,2.19223,0.00158448,0.00158448,0.00158448
7,201.142,1.44212,1.83455,1.74151,0.45419,0.42994,0.40531,0.17888,1.81847,2.43653,2.2065,0.00156798,0.00156798,0.00156798
8,227.25,1.40635,1.71019,1.69398,0.55049,0.47236,0.50732,0.2415,1.69243,2.32609,2.03444,0.00155148,0.00155148,0.00155148
9,252.931,1.40683,1.71555,1.70525,0.57461,0.53619,0.54562,0.27513,1.60985,1.86982,1.95707,0.00153497,0.00153497,0.00153497
10,277.947,1.36088,1.64951,1.6678,0.60227,0.528,0.57427,0.27012,1.70028,1.74183,2.04204,0.00151847,0.00151847,0.00151847
11,304.542,1.36352,1.63297,1.66762,0.55622,0.46912,0.49164,0.22977,1.72242,1.83484,2.07431,0.00150197,0.00150197,0.00150197
12,333.338,1.34401,1.56178,1.66822,0.6734,0.59262,0.64922,0.31925,1.62048,1.63727,1.94434,0.00148546,0.00148546,0.00148546
